"名称","住所","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","経度","緯度","分類"
","◎誘導ブロック　有り
","◎一般案内　有り
","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）
",""◎障害者（車椅子）用便所　有り：２箇所
◎洋式大便所　有り：８箇所
◎手すり付便所　有り：２箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り"
","","","","","135.348482255851","34.2129874126568","その他"
"特別養護老人ホーム　日好荘スマイル
","東牟婁郡那智勝浦町浜ノ宮850－1
","和歌山県","東牟婁郡那智勝浦町","浜ノ宮850－1
","0735-52-5534
","0735-52-5133
","9：00～18：00
","地上３階、地下１階
","土・日・祝日
",""◎障害者用駐車場　有り：１台"
",""◎施設入口への車椅子利用：可
◎自動ドア有り"
","◎誘導ブロック　有り
","",""◎一般用エレベーター　有り
◎障害者用エレベーター　有り"
",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：１６箇所
◎手すり付便所　有り：１３箇所"
","","","","","135.942528113323","33.6472690424594","文化施設"
"新宮港トイレ
","新宮市佐野2139
","和歌山県","新宮市","佐野2139
","","","","","",""◎一般駐車場　有り：２１台
◎障害者用駐車場　有り：２台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：３箇所
◎手すり付便所　有り：３箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り"
","","","","","135.976782039628","33.6757528676816","トイレ"
"下里保育所
","東牟婁郡那智勝浦町下里90-1
","和歌山県","東牟婁郡那智勝浦町","下里90-1
","","","","地上１階 
","",""◎一般駐車場　有り
◎障害者用駐車場　有り"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","◎一般案内　有り
","",""◎障害者（車椅子）用便所　有り
◎洋式大便所　有り
◎手すり付便所　有り
◎オストメイト対応便所 有り"
","","","","","135.919259723976","33.5832175697884","文化施設"
"朝日公園公衆トイレ
","東牟婁郡那智勝浦町大字朝日３丁目136番地
","和歌山県","東牟婁郡那智勝浦町","大字朝日３丁目136番地
","","","","地上１階 
","",""◎障害者用駐車場　有り：１台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：1箇所
◎洋式大便所　有り：2箇所
◎オストメイト対応便所 有り"
","","","","","135.939322506024","33.6298301386482","トイレ"
"那智山公衆便所
","東牟婁郡那智勝浦町大字那智山196－10

","和歌山県","東牟婁郡那智勝浦町","大字那智山196－10","","","","地上１階 
","",""◎障害者用駐車場　有り：１台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","◎一般案内　有り
","",""◎障害者（車椅子）用便所　有り：1箇所
◎洋式大便所　有り：9箇所
◎手すり付便所　有り：３箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り
◎ベビーベッド 有り"
","","","","","135.892713288631","33.6692448242489","トイレ"
"町民グランド公衆便所
","東牟婁郡太地町太地３７６７-１","和歌山県","東牟婁郡太地町","太地３７６７-１","","","","","","","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
",""◎一般案内　有り
◎点字案内　有り"

","",""◎障害者（車椅子）用便所　有り：1箇所
◎オストメイト対応便所 有り"
","","","","","135.951964514854","33.5818055805945","トイレ"
"森浦地区公衆便所
","東牟婁郡太地町大字森浦533－2
","和歌山県","東牟婁郡太地町","大字森浦533－2
","","","","地上１階 
","",""◎障害者用駐車場　有り：１台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
",""◎一般案内　有り
◎点字案内　有り"
","",""◎障害者（車椅子）用便所　有り：1箇所
◎洋式大便所　有り：1箇所
◎手すり付便所　有り：1箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り
◎ベビーベッド 有り"
","","","","","135.930903691619","33.5915393007954","トイレ"
"どんぐりの家
","新宮市熊野地1－8－1
","和歌山県","新宮市","熊野地1－8－1
","0735-22-6654
","0735-22-6654
","8:30～17:00
","地上２階 
","土・日・祝日、年末年始、盆
",""◎一般駐車場　有り：１台
◎障害者用駐車場　有り：１台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","",""◎一般用エレベーター　有り
◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）"
",""◎障害者（車椅子）用便所　有り：1箇所
◎洋式大便所　有り：2箇所
◎オストメイト対応便所 有り"
","","","","","136.001138581448","33.7237310189365","その他"
"串本町社会福祉総合センター
","東牟婁郡串本町サンゴ台1060-255
","和歌山県","東牟婁郡串本町","サンゴ台1060-255
","","","9:00～17:00
","地上１階 
","日曜日
",""◎一般駐車場　有り：１００台
◎障害者用駐車場　有り：２台"
",""◎施設入口への車椅子利用：可
◎自動ドア有り"
",""◎誘導ブロック　有り
◎他の誘導設備：インターホン"
",""◎一般案内　有り
◎点字案内　有り"
","",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：８箇所
◎手すり付便所　有り：８箇所
◎オストメイト対応便所 有り"
","","◎車椅子の常備　有り：５台
","","","135.782151990216","33.4842753857727","その他"
"直見公衆トイレ
","東牟婁郡古座川町直見212地番先
","和歌山県","東牟婁郡古座川町","直見212地番先
","","","","地上１階 
","日曜日
",""◎一般駐車場　有り：２台
◎障害者用駐車場　有り：１台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：２箇所
◎手すり付便所　有り：１箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り
◎ベビーベッド 有り"
","","","","","135.777254656509","33.5480209708953","トイレ"
"くにぎふれあいの里公衆トイレ
","橋本市南馬場506－5
","和歌山県","橋本市","南馬場506－5","","","","地上１階 
","",""◎一般駐車場　有り：１１台
◎障害者用駐車場　有り：２台"
","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：３箇所
◎手すり付便所　有り：１箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り
◎ベビーベッド 有り"
","","","","","135.594765996249","34.2976117094765","トイレ"
"河南公衆トイレ
","伊都郡かつらぎ町大字寺尾54－168
","和歌山県","伊都郡かつらぎ町","大字寺尾54－168
","","","","地上１階 
","","","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：４箇所
◎手すり付便所　有り：２箇所
◎オストメイト対応便所 有り
◎ベビーベッド 有り"
","","","","","135.492904196024","34.2859422748046","トイレ"
"ふれあい会館公衆トイレ
","伊都郡かつらぎ町大字志賀1347-3
","和歌山県","伊都郡かつらぎ町","大字志賀1347-3
","","","","地上１階 
","","","◎施設入口への車椅子利用：可
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：１箇所
◎洋式大便所　有り：５箇所
◎手すり付便所　有り：７箇所
◎オストメイト対応便所 有り"
","","","","","135.493032549039","34.2183181135256","トイレ"
"きのくに薬局
","和歌山市里８６-１","和歌山県","和歌山市","里８６-１","073-462-6777
","","8:30～19:00
","地上１階 
","日曜日・祝日
",""◎一般駐車場　有り：３台
◎障害者用駐車場　有り：１台"
",""◎施設入口への車椅子利用：可
◎自動ドア有り"
","◎誘導ブロック　有り
","","",""◎障害者（車椅子）用便所　有り：1箇所
◎洋式大便所　有り：1箇所
◎手すり付便所　有り：1箇所
◎オストメイト対応便所 有り"
","","","","","135.263602621148","34.263404131276","大規模小売店舗"
"紀陽銀行紀三井寺支店
","和歌山市紀三井寺735番1
","和歌山県","和歌山市","紀三井寺735番1
","073-444-0147
","","9：00～15：00
","地上２階 
","土・日・祝
",""◎一般駐車場　有り：２９台
